Date,Open,High,Low,Close,Volume
2024-11-07 00:00:00+05:30,152.84,153.23,146.78,147.46,4118245
2024-11-08 00:00:00+05:30,149.47,149.47,143.5,144.19,2244172
2024-11-11 00:00:00+05:30,144.38,144.38,140.77,141.65,1789884
2024-11-12 00:00:00+05:30,143.46,143.8,140.47,140.87,1146090
2024-11-13 00:00:00+05:30,140.43,140.43,135.49,136.08,2077910
2024-11-14 00:00:00+05:30,136.52,137.59,134.37,134.86,2441717
2024-11-18 00:00:00+05:30,136.47,139.94,135.15,138.08,3171225
2024-11-19 00:00:00+05:30,138.52,139.25,135.88,136.27,1760152
2024-11-21 00:00:00+05:30,136.57,138.42,134.07,137.05,1572799
2024-11-22 00:00:00+05:30,137.05,139.94,136.42,139.55,1918444
2024-11-25 00:00:00+05:30,141.5,142.82,139.6,140.33,1928708
2024-11-26 00:00:00+05:30,140.77,142.48,140.33,141.16,744230
2024-11-27 00:00:00+05:30,141.16,141.6,139.64,141.21,825909
2024-11-28 00:00:00+05:30,140.96,141.94,139.84,140.18,835743
2024-11-29 00:00:00+05:30,140.57,142.14,139.79,141.26,1883423
2024-12-02 00:00:00+05:30,141.21,143.46,139.94,143.06,1734595
2024-12-03 00:00:00+05:30,143.55,144.87,143.02,143.21,1210952
2024-12-04 00:00:00+05:30,143.65,143.75,140.72,142.48,1398405
2024-12-05 00:00:00+05:30,143.16,144.53,141.5,143.75,1209830
2024-12-06 00:00:00+05:30,144.24,145.26,143.31,144.87,1872363
2024-12-09 00:00:00+05:30,144.92,147.17,143.26,146.39,1457874
2024-12-10 00:00:00+05:30,146.92,149.03,145.95,146.92,1070598
2024-12-11 00:00:00+05:30,147.02,148.63,146.68,147.17,1633667
2024-12-12 00:00:00+05:30,147.56,148.1,145.31,147.41,1983700
2024-12-13 00:00:00+05:30,146.63,147.32,142.28,145.56,2578810
2024-12-16 00:00:00+05:30,145.41,146.39,143.7,144.53,1330991
2024-12-17 00:00:00+05:30,144.14,145.12,142.04,142.33,1288867
2024-12-18 00:00:00+05:30,142.48,143.21,140.03,141.21,615562
2024-12-19 00:00:00+05:30,138.18,140.52,137.93,140.03,1362645
2024-12-20 00:00:00+05:30,139.99,141.21,136.86,137.64,1521457
2024-12-23 00:00:00+05:30,139.4,140.52,137.45,138.47,1391144
2024-12-24 00:00:00+05:30,138.23,138.37,136.13,137.15,1028658
2024-12-26 00:00:00+05:30,137.79,137.98,136.32,137.15,699622
2024-12-27 00:00:00+05:30,137.79,138.52,135.54,135.78,796986
2024-12-30 00:00:00+05:30,135.59,136.13,132.95,133.78,1712394
2024-12-31 00:00:00+05:30,133.59,135.54,133.54,134.95,1106246
2025-01-01 00:00:00+05:30,135.2,135.2,133.49,133.63,1153543
2025-01-02 00:00:00+05:30,133.68,135.25,133.24,135.0,1394322
2025-01-03 00:00:00+05:30,135.1,136.52,134.61,135.15,860541
2025-01-06 00:00:00+05:30,135.15,135.25,128.36,129.19,1364385
2025-01-07 00:00:00+05:30,129.53,130.9,128.99,130.31,1451194
2025-01-08 00:00:00+05:30,130.65,131.19,128.8,129.58,732083
2025-01-09 00:00:00+05:30,129.19,129.48,126.65,126.89,809900
2025-01-10 00:00:00+05:30,126.94,127.48,123.81,124.5,892971
2025-01-13 00:00:00+05:30,123.72,123.72,119.81,120.15,2156267
2025-01-14 00:00:00+05:30,120.15,124.79,120.15,124.11,2928101
2025-01-15 00:00:00+05:30,125.52,125.52,122.88,123.67,1246039
2025-01-16 00:00:00+05:30,125.23,125.52,123.67,124.89,1007111
2025-01-17 00:00:00+05:30,125.03,128.11,124.69,127.33,1943098
2025-01-20 00:00:00+05:30,128.26,129.09,125.96,128.65,1064805
2025-01-21 00:00:00+05:30,129.24,129.43,126.26,126.7,1984757
2025-01-22 00:00:00+05:30,127.43,127.43,124.2,126.01,849907
2025-01-23 00:00:00+05:30,125.08,127.82,124.79,127.53,1153060
2025-01-24 00:00:00+05:30,127.48,130.12,126.4,127.04,1772241
2025-01-27 00:00:00+05:30,126.35,126.4,122.93,123.52,1617780
2025-01-28 00:00:00+05:30,123.32,127.53,121.86,125.77,2491387
2025-01-29 00:00:00+05:30,126.21,128.31,125.57,127.82,1073295
2025-01-30 00:00:00+05:30,127.97,129.14,127.14,128.16,2301113
2025-01-31 00:00:00+05:30,128.11,131.92,126.89,131.58,2332575
2025-02-01 00:00:00+05:30,132.66,132.66,127.38,129.92,1686209
2025-02-03 00:00:00+05:30,128.7,129.38,124.89,128.89,751685
2025-02-04 00:00:00+05:30,129.53,131.29,128.89,130.36,1134755
2025-02-05 00:00:00+05:30,130.07,132.31,130.07,131.34,535771
2025-02-06 00:00:00+05:30,131.24,131.58,129.04,129.53,727932
2025-02-07 00:00:00+05:30,130.31,135.59,129.58,135.15,3171397
2025-02-10 00:00:00+05:30,135.1,135.1,129.97,130.95,1124302
2025-02-11 00:00:00+05:30,129.58,131.29,126.74,127.14,955033
2025-02-12 00:00:00+05:30,126.16,130.21,125.43,129.24,2030785
2025-02-13 00:00:00+05:30,129.04,134.56,129.04,133.1,1056230
2025-02-14 00:00:00+05:30,133.1,136.03,130.31,131.34,1110874
2025-02-17 00:00:00+05:30,129.29,131.73,127.82,131.29,760563
2025-02-18 00:00:00+05:30,131.29,131.83,128.7,131.44,2309704
2025-02-19 00:00:00+05:30,131.63,133.73,130.02,132.75,653303
2025-02-20 00:00:00+05:30,132.46,135.2,131.92,134.86,1107248
2025-02-21 00:00:00+05:30,134.37,138.32,134.07,137.4,1733736
2025-02-24 00:00:00+05:30,135.78,137.45,133.59,134.51,1476632
2025-02-25 00:00:00+05:30,135.05,136.17,133.63,133.93,1189913
2025-02-27 00:00:00+05:30,134.61,135.78,132.75,135.49,614177
2025-02-28 00:00:00+05:30,133.54,134.46,131.0,134.07,1009170
2025-03-03 00:00:00+05:30,133.93,135.83,131.24,135.34,2845036
2025-03-04 00:00:00+05:30,132.75,137.64,132.75,136.13,855423
2025-03-05 00:00:00+05:30,135.25,143.16,135.25,142.82,1710944
2025-03-06 00:00:00+05:30,143.31,148.73,143.16,146.92,4187239
2025-03-07 00:00:00+05:30,146.53,148.98,146.0,148.1,1483606
2025-03-10 00:00:00+05:30,148.15,150.69,147.02,147.51,1308760
2025-03-11 00:00:00+05:30,144.63,148.29,144.63,147.41,1181607
2025-03-12 00:00:00+05:30,147.32,148.54,144.33,146.88,1104497
2025-03-13 00:00:00+05:30,148.1,150.0,146.63,147.41,1603311
2025-03-17 00:00:00+05:30,147.85,149.12,147.51,148.34,737225
2025-03-18 00:00:00+05:30,149.32,151.32,148.83,151.13,4994631
2025-03-19 00:00:00+05:30,152.79,155.62,152.79,154.94,1318411
2025-03-20 00:00:00+05:30,156.16,156.45,153.08,155.38,906870
2025-03-21 00:00:00+05:30,155.57,156.16,153.33,153.67,684394
2025-03-24 00:00:00+05:30,154.4,155.38,153.62,154.74,498706
2025-03-25 00:00:00+05:30,155.67,155.67,152.49,153.13,870454
2025-03-26 00:00:00+05:30,152.49,153.91,151.47,152.25,433210
2025-03-27 00:00:00+05:30,151.32,152.54,150.98,151.76,462970
2025-03-28 00:00:00+05:30,151.96,153.33,149.9,150.74,577842
2025-04-01 00:00:00+05:30,148.29,151.81,148.29,149.61,1382436
2025-04-02 00:00:00+05:30,150.49,152.64,148.78,151.13,567963
2025-04-03 00:00:00+05:30,149.37,152.4,149.22,150.15,349236
2025-04-04 00:00:00+05:30,149.86,149.86,136.81,137.25,3086794
2025-04-07 00:00:00+05:30,123.57,127.48,121.37,126.65,7768312
2025-04-08 00:00:00+05:30,131.39,133.15,125.18,127.23,3198084
2025-04-09 00:00:00+05:30,127.43,127.43,122.49,124.3,1799410
2025-04-11 00:00:00+05:30,131.88,131.88,127.43,130.41,4556027
2025-04-15 00:00:00+05:30,132.36,133.78,131.73,133.34,2156934
2025-04-16 00:00:00+05:30,133.34,134.46,131.58,133.83,1925844
2025-04-17 00:00:00+05:30,132.27,134.76,130.6,134.03,1378982
2025-04-21 00:00:00+05:30,134.81,137.05,133.88,136.03,1727408
2025-04-22 00:00:00+05:30,138.86,139.6,134.66,134.95,2241957
2025-04-23 00:00:00+05:30,136.08,138.18,134.17,137.89,1229528
2025-04-24 00:00:00+05:30,137.69,138.67,137.05,138.28,846390
2025-04-25 00:00:00+05:30,138.42,140.18,134.9,135.54,2064151
2025-04-28 00:00:00+05:30,135.54,139.35,135.15,138.81,913452
2025-04-29 00:00:00+05:30,138.67,140.08,137.79,138.23,1433385
2025-04-30 00:00:00+05:30,137.2,138.32,135.34,136.57,752026
2025-05-02 00:00:00+05:30,136.66,139.79,136.32,138.08,703628
2025-05-05 00:00:00+05:30,138.13,139.45,137.93,138.86,1287804
2025-05-06 00:00:00+05:30,138.37,142.04,138.28,141.11,3407650
2025-05-07 00:00:00+05:30,138.81,144.04,138.81,142.97,1667608
2025-05-08 00:00:00+05:30,142.92,143.36,139.74,140.38,1737854
2025-05-09 00:00:00+05:30,137.4,140.03,137.2,139.5,1082494
2025-05-12 00:00:00+05:30,142.43,148.49,141.65,148.1,1709993
2025-05-13 00:00:00+05:30,148.88,149.47,145.65,146.09,3408140
2025-05-14 00:00:00+05:30,147.75,153.57,147.56,151.76,4546411
2025-05-15 00:00:00+05:30,152.49,154.25,150.78,153.76,1810366
2025-05-16 00:00:00+05:30,154.16,154.64,153.42,153.86,918450
2025-05-19 00:00:00+05:30,153.47,154.45,152.59,153.91,837651
2025-05-20 00:00:00+05:30,154.45,158.31,154.45,155.04,1759376
2025-05-21 00:00:00+05:30,155.72,158.21,154.99,157.92,986711
2025-05-22 00:00:00+05:30,156.4,159.82,156.4,157.58,1971611
2025-05-23 00:00:00+05:30,157.82,159.53,157.82,159.19,1313619
2025-05-26 00:00:00+05:30,159.29,161.83,158.31,158.7,1107656
2025-05-27 00:00:00+05:30,158.6,160.17,156.89,158.02,1240748
2025-05-28 00:00:00+05:30,158.9,158.99,156.94,157.38,1164070
2025-05-29 00:00:00+05:30,158.31,160.21,157.72,159.38,1081277
2025-05-30 00:00:00+05:30,159.38,160.17,156.84,157.33,632196
2025-06-02 00:00:00+05:30,154.45,156.55,153.67,155.43,1058729
2025-06-03 00:00:00+05:30,155.38,156.94,153.47,153.72,1679863
2025-06-04 00:00:00+05:30,153.67,155.33,153.23,154.55,699088
2025-06-05 00:00:00+05:30,154.99,155.47,153.42,154.4,641989
2025-06-06 00:00:00+05:30,155.9,157.85,154.3,157.5,1469254
2025-06-09 00:00:00+05:30,157.5,158.25,156.75,157.25,1526657
2025-06-10 00:00:00+05:30,157.8,159.35,155.45,155.7,1172765
2025-06-11 00:00:00+05:30,156.2,157.55,155.25,156.35,1282320
2025-06-12 00:00:00+05:30,156.2,156.2,151.85,152.85,806446
2025-06-13 00:00:00+05:30,150.85,152.4,149.7,152.2,1405591
2025-06-16 00:00:00+05:30,151.4,154.45,150.8,154.1,1127804
2025-06-17 00:00:00+05:30,153.95,154.9,152.4,152.6,442379
2025-06-18 00:00:00+05:30,152.0,153.2,150.8,152.05,754067
2025-06-19 00:00:00+05:30,151.8,152.5,150.45,150.95,502194
2025-06-20 00:00:00+05:30,150.95,153.2,150.6,151.9,488365
2025-06-23 00:00:00+05:30,150.5,153.35,150.45,152.45,566461
