Date,Open,High,Low,Close,Volume
2024-11-07 00:00:00+05:30,4029.54,4064.42,3947.73,4011.37,3724349
2024-11-08 00:00:00+05:30,4015.33,4029.58,3979.23,4007.6,1648039
2024-11-11 00:00:00+05:30,3989.43,4091.96,3979.23,4057.56,1406487
2024-11-12 00:00:00+05:30,4074.28,4076.21,4024.36,4056.3,1587640
2024-11-13 00:00:00+05:30,4037.65,4055.68,3992.18,4010.84,1098813
2024-11-14 00:00:00+05:30,3996.0,4020.16,3978.08,4006.53,1825432
2024-11-18 00:00:00+05:30,4071.38,4071.38,3856.07,3884.38,3313944
2024-11-19 00:00:00+05:30,3884.77,3993.25,3879.17,3903.76,1776233
2024-11-21 00:00:00+05:30,3908.93,3954.88,3888.73,3935.94,2384347
2024-11-22 00:00:00+05:30,3934.15,4111.92,3917.72,4101.92,3096553
2024-11-25 00:00:00+05:30,4136.13,4182.61,4109.26,4170.05,4052167
2024-11-26 00:00:00+05:30,4175.8,4219.82,4165.12,4206.38,2060669
2024-11-27 00:00:00+05:30,4212.42,4230.25,4178.7,4186.91,1558993
2024-11-28 00:00:00+05:30,4173.82,4194.06,4090.71,4102.21,2558544
2024-11-29 00:00:00+05:30,4078.14,4154.2,4054.61,4127.28,2017425
2024-12-02 00:00:00+05:30,4126.46,4144.05,4087.86,4132.89,1670944
2024-12-03 00:00:00+05:30,4169.32,4179.61,4122.07,4158.11,2010905
2024-12-04 00:00:00+05:30,4168.55,4239.48,4144.87,4208.03,3302642
2024-12-05 00:00:00+05:30,4252.87,4338.1,4213.44,4313.99,3746747
2024-12-06 00:00:00+05:30,4303.31,4314.91,4264.41,4296.06,1842087
2024-12-09 00:00:00+05:30,4281.52,4319.16,4267.12,4302.49,2066639
2024-12-10 00:00:00+05:30,4277.36,4342.74,4263.79,4283.55,2087828
2024-12-11 00:00:00+05:30,4282.87,4299.11,4258.86,4278.62,1635256
2024-12-12 00:00:00+05:30,4281.13,4334.24,4277.22,4305.2,1914642
2024-12-13 00:00:00+05:30,4285.87,4343.8,4246.68,4323.51,1967048
2024-12-16 00:00:00+05:30,4309.11,4324.57,4249.19,4266.78,1646224
2024-12-17 00:00:00+05:30,4261.76,4283.94,4172.85,4183.0,3225027
2024-12-18 00:00:00+05:30,4166.76,4215.37,4145.4,4201.7,1575404
2024-12-19 00:00:00+05:30,4138.06,4217.3,4118.73,4128.3,3015763
2024-12-20 00:00:00+05:30,4183.48,4234.7,4012.91,4030.11,4116989
2024-12-23 00:00:00+05:30,4058.86,4075.24,3976.58,4018.52,2195338
2024-12-24 00:00:00+05:30,4018.52,4076.21,4018.52,4039.01,1181886
2024-12-26 00:00:00+05:30,4039.01,4058.77,4003.88,4028.96,1208464
2024-12-27 00:00:00+05:30,4023.06,4040.41,4007.84,4024.85,858100
2024-12-30 00:00:00+05:30,4011.46,4058.14,3973.77,4019.0,1527169
2024-12-31 00:00:00+05:30,3996.0,4000.79,3896.51,3957.15,1555429
2025-01-01 00:00:00+05:30,3956.77,3995.04,3948.12,3974.21,763161
2025-01-02 00:00:00+05:30,3981.51,4042.39,3959.23,4035.38,1720835
2025-01-03 00:00:00+05:30,4039.44,4039.44,3954.74,3962.08,1791953
2025-01-06 00:00:00+05:30,3967.49,4010.16,3929.71,3957.35,2085593
2025-01-07 00:00:00+05:30,3976.63,4001.17,3876.7,3892.89,2669054
2025-01-08 00:00:00+05:30,3899.27,3987.3,3882.69,3970.3,2181277
2025-01-09 00:00:00+05:30,3963.14,3998.66,3889.99,3903.08,2392472
2025-01-10 00:00:00+05:30,4058.82,4152.56,4029.83,4122.26,7894300
2025-01-13 00:00:00+05:30,4102.3,4177.63,4085.3,4146.85,4003771
