Date	Open	High	Low	Close	Volume	Daily_Return	SMA_7	SMA_14
2025-09-24 00:00:00+05:30	1385.300048828125	1396.0	1380.4000244140625	1383.0	5922759			
2025-09-25 00:00:00+05:30	1381.300048828125	1384.5	1369.0	1372.4000244140625	11411143	-0.7664479816296144		
2025-09-26 00:00:00+05:30	1372.0	1382.699951171875	1366.0	1377.5999755859375	9879109	0.3788947157804978		
2025-09-29 00:00:00+05:30	1381.5999755859375	1389.0	1368.0	1372.800048828125	14231999	-0.3484267452727674		
2025-09-30 00:00:00+05:30	1377.0999755859375	1377.0999755859375	1362.800048828125	1364.0	14604684	-0.641029175052632		
2025-10-01 00:00:00+05:30	1367.0	1378.5999755859375	1362.699951171875	1368.699951171875	12045916	0.34457120028408283		
2025-10-03 00:00:00+05:30	1363.199951171875	1371.5999755859375	1356.9000244140625	1363.4000244140625	12842347	-0.3872234198061264	1371.7000034877233	
2025-10-06 00:00:00+05:30	1360.0	1377.4000244140625	1359.0	1375.0	12396580	0.8508123352075403	1370.5571463448662	
2025-10-07 00:00:00+05:30	1376.0	1395.9000244140625	1375.9000244140625	1384.800048828125	11244040	0.7127308238636276	1372.328578404018	
2025-10-08 00:00:00+05:30	1384.800048828125	1389.0	1364.5	1367.4000244140625	8525081	-1.2565008521473686	1370.8714425223213	
2025-10-09 00:00:00+05:30	1374.0	1380.0	1369.0999755859375	1377.800048828125	8826633	0.760569272222944	1371.585728236607	
2025-10-10 00:00:00+05:30	1377.800048828125	1388.0	1375.0999755859375	1381.699951171875	6373084	0.2830528527754783	1374.114292689732	
2025-10-13 00:00:00+05:30	1376.9000244140625	1377.699951171875	1367.800048828125	1375.0	7600682	-0.484906376828953	1375.0142996651787	
2025-10-14 00:00:00+05:30	1380.0	1388.0	1370.0999755859375	1375.9000244140625	9768174	0.06545632102272769	1376.800013950893	1374.250008719308
2025-10-15 00:00:00+05:30	1383.0	1384.0	1372.699951171875	1374.300048828125	10882743	-0.11628574442528183	1376.7000209263392	1373.6285836356026
2025-10-16 00:00:00+05:30	1375.0999755859375	1400.5	1375.0	1398.300048828125	12315932	1.7463435310553166	1378.6285923549108	1375.4785853794642
2025-10-17 00:00:00+05:30	1401.0	1423.300048828125	1399.0999755859375	1416.800048828125	19335561	1.3230350678671732	1385.6857386997767	1378.2785906110491
2025-10-20 00:00:00+05:30	1440.0	1473.800048828125	1433.300048828125	1466.800048828125	24721978	3.5290794944111026	1398.4000244140625	1384.992876325335
2025-10-21 00:00:00+05:30	1468.0	1474.0	1460.0	1465.199951171875	2066169	-0.10908764678105864	1410.3285958426338	1392.221444266183
2025-10-23 00:00:00+05:30	1475.0	1482.9000244140625	1444.5999755859375	1448.4000244140625	18707090	-1.1465961860274265	1420.8143136160713	1397.914306640625
2025-10-24 00:00:00+05:30	1450.0	1459.800048828125	1441.0	1451.5999755859375	9698897	0.22093006889927214	1431.6285923549108	1404.2143031529017
